年月日,曜日,天候,入場者数(600円),入場者数(500円),入場者数(410円),入場者数(310円),入場者数(100円),入場者数(0円),入場者数(合計),英語,中国語,その他外国語,茶室利用者数(午前),茶室利用者数(午後),茶室利用者数(終日),茶室利用者数(合計),２階利用者数(午前),２階利用者数(午後),２階利用者数(終日),２階利用者数(合計),備考
2016/4/1,金,雨・曇り,,,114,1,3,7, 125 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/2,土,曇り,,,434,29,0,39, 502 ,-,-,-,0,0,0,0, 0 , 0 , 1 , 1 ,
2016/4/3,日,曇り,,,268,17,2,31, 318 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/4,月,曇り,,,178,3,0,9, 190 ,-,-,-,0,0,0,0, 1 , 0 , 0 , 1 ,
2016/4/5,火,晴,,,271,6,2,19, 298 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/6,水,晴,,,216,5,2,20, 243 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/7,木,雨,,,30,4,26,1, 61 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/8,金,晴,,,142,3,1,11, 157 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/9,土,晴,,,238,11,4,24, 277 ,-,-,-,0,0, 1 ,1, 0 , 1 , 0 , 1 ,
2016/4/10,日,晴,,,238,4,0,22, 264 ,-,-,-,0,0,0,0, 0 , 1 , 0 , 1 ,
2016/4/11,月,晴,,,99,12,0,5, 116 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/12,火,晴,,,190,3,0,6, 199 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/13,水,曇り,,,122,3,0,5, 130 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/14,木,晴,,,109,4,0,11, 124 ,-,-,-,0,0,0,0, 0 , 1 , 0 , 1 ,
2016/4/15,金,晴,,,221,2,0,8, 231 ,-,-,-,0,0,0,0, 1 , 0 , 0 , 1 ,
2016/4/16,土,晴,,,220,3,2,23, 248 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/17,日,雨のち晴,,,135,3,0,8, 146 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/18,月,曇り時々雨,,,105,1,0,4, 110 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/19,火,晴,,,173,1,7,18, 199 ,-,-,-,0,0,0,0, 0 , 1 , 0 , 1 ,
2016/4/20,水,晴,,,137,1,0,26, 164 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/21,木,曇りのち雨,,,100,13,0,5, 118 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
2016/4/22,金,晴れ,,,134,0,0,28, 162 ,-,-,-,0, 1 ,0,1, 0 , 0 , 0 , 0 ,
2016/4/23,土,曇り,,,156,6,0,6, 168 ,-,-,-,0,0,0,0, 0 , 1 , 0 , 1 ,
2016/4/24,日,晴れ時々曇り,,,213,0,0,12, 225 ,-,-,-,0,0,0,0, 0 , 0 , 0 , 0 ,
