取引日時,商品カテゴリ,商品ID,商品名,商品単価,原価,数量
2020/04/01 9:32:25,入場料,8000181,入場料600円,600,,8
2020/04/01 9:41:10,入場料,8000181,入場料600円,600,,2
2020/04/01 9:47:09,カフェ,8000152,セット　最中アイス・抹茶,900,266,1
2020/04/01 9:47:09,入場料,8000181,入場料600円,600,,1
2020/04/01 10:16:25,入場料,8000181,入場料600円,600,,2
2020/04/01 10:17:53,入場料,8000181,入場料600円,600,,2
2020/04/01 10:51:33,入場料,8000182,入場料500円,500,,2
2020/04/01 11:00:32,入場料,8000181,入場料600円,600,,1
2020/04/01 11:01:59,入場料,8000181,入場料600円,600,,2
2020/04/01 12:26:18,カフェ,8000298,クラフトビールセット,1000,464,1
2020/04/01 13:00:59,入場料,8000181,入場料600円,600,,1
2020/04/01 15:16:44,カフェ,33,どら焼,300,194,1
2020/04/01 15:16:44,カフェ,36,抹茶,600,151.2,1
2020/04/01 15:26:31,入場料,8000181,入場料600円,600,,2
2020/04/01 16:21:02,入場料,8000181,入場料600円,600,,1
2020/04/01 16:23:06,入場料,8000181,入場料600円,600,,2
2020/04/01 17:48:09,入場料,8000181,入場料600円,600,,1
2020/04/01 17:49:29,入場料,8000193,減免　その他特例,0,,1
2020/04/02 9:18:29,入場料,8000181,入場料600円,600,,1
2020/04/02 9:34:23,入場料,8000181,入場料600円,600,,2
2020/04/02 9:46:53,入場料,8000184,減免0円　敬老,0,,1
2020/04/02 10:01:47,入場料,8000184,減免0円　敬老,0,,1
2020/04/02 10:01:52,入場料,8000181,入場料600円,600,,2
2020/04/02 10:02:36,入場料,8000181,入場料600円,600,,2
2020/04/02 10:09:18,入場料,8000181,入場料600円,600,,1
2020/04/02 10:54:22,カフェ,33,どら焼,300,194,2
2020/04/02 10:54:22,カフェ,36,抹茶,600,151.2,2
2020/04/02 11:05:31,入場料,8000181,入場料600円,600,,2
2020/04/02 11:56:30,入場料,8000181,入場料600円,600,,1
2020/04/02 12:12:22,入場料,8000181,入場料600円,600,,1
2020/04/02 13:07:37,入場料,8000181,入場料600円,600,,2
2020/04/02 13:09:52,入場料,8000181,入場料600円,600,,2
2020/04/02 13:26:39,入場料,8000181,入場料600円,600,,3
2020/04/02 13:30:08,入場料,8000181,入場料600円,600,,2
2020/04/02 13:36:44,カフェ,36,抹茶,600,151.2,2
2020/04/02 13:39:53,入場料,8000181,入場料600円,600,,1
2020/04/02 13:58:40,入場料,8000184,減免0円　敬老,0,,2
2020/04/02 13:58:48,入場料,8000181,入場料600円,600,,1
2020/04/02 14:05:31,入場料,8000184,減免0円　敬老,0,,2
2020/04/02 14:05:31,入場料,8000181,入場料600円,600,,1
2020/04/02 14:11:04,カフェ,36,抹茶,600,151.2,1
2020/04/02 14:13:13,入場料,8000181,入場料600円,600,,2
2020/04/02 14:32:24,入場料,8000184,減免0円　敬老,0,,1
2020/04/02 14:34:42,カフェ,36,抹茶,600,151.2,1
2020/04/02 15:07:29,入場料,8000181,入場料600円,600,,2
2020/04/02 15:15:21,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/02 15:15:21,カフェ,8000152,セット　最中アイス・抹茶,900,266,1
2020/04/02 15:48:45,カフェ,37,セット　ロシアケーキ・コーヒー,800,264.2,1
2020/04/02 15:48:45,入場料,8000181,入場料600円,600,,2
2020/04/02 15:48:45,カフェ,36,抹茶,600,151.2,1
2020/04/02 16:02:02,入場料,8000184,減免0円　敬老,0,,1
2020/04/02 16:02:02,カフェ,36,抹茶,600,151.2,1
2020/04/02 16:15:06,入場料,8000181,入場料600円,600,,2
2020/04/02 16:38:48,入場料,8000181,入場料600円,600,,5
2020/04/02 16:55:55,入場料,8000188,施設母屋終日,5400,,1
2020/04/02 16:55:55,入場料,8000190,茶室午後,3800,,1
2020/04/02 17:09:27,入場料,8000182,入場料500円,500,,1
2020/04/02 17:36:56,入場料,8000182,入場料500円,500,,2
2020/04/02 17:36:56,入場料,8000181,入場料600円,600,,3
2020/04/03 9:22:25,入場料,8000181,入場料600円,600,,1
2020/04/03 9:24:10,カフェ,40,セット　どら焼き・コーヒー,800,275,1
2020/04/03 9:44:06,入場料,8000181,入場料600円,600,,2
2020/04/03 9:48:47,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/03 9:48:47,カフェ,8000152,セット　最中アイス・抹茶,900,266,1
2020/04/03 10:41:34,入場料,8000181,入場料600円,600,,1
2020/04/03 11:23:45,入場料,8000185,減免0円　手帳,0,,1
2020/04/03 11:44:18,入場料,8000181,入場料600円,600,,2
2020/04/03 11:50:05,入場料,8000181,入場料600円,600,,1
2020/04/03 11:58:29,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 11:59:53,入場料,8000181,入場料600円,600,,2
2020/04/03 12:03:06,入場料,8000181,入場料600円,600,,1
2020/04/03 12:05:10,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/03 12:05:10,カフェ,41,ロシアケーキ,300,181.4,1
2020/04/03 12:05:10,カフェ,36,抹茶,600,151.2,1
2020/04/03 12:16:25,入場料,8000181,入場料600円,600,,1
2020/04/03 12:31:19,入場料,8000181,入場料600円,600,,1
2020/04/03 12:32:09,入場料,8000181,入場料600円,600,,1
2020/04/03 12:40:03,カフェ,8000152,セット　最中アイス・抹茶,900,266,1
2020/04/03 12:52:49,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,2
2020/04/03 12:53:51,入場料,8000184,減免0円　敬老,0,,2
2020/04/03 12:54:16,入場料,8000181,入場料600円,600,,1
2020/04/03 12:59:57,入場料,8000181,入場料600円,600,,2
2020/04/03 13:14:48,入場料,8000181,入場料600円,600,,1
2020/04/03 13:17:34,入場料,8000184,減免0円　敬老,0,,2
2020/04/03 13:17:34,入場料,8000181,入場料600円,600,,2
2020/04/03 13:19:07,入場料,8000181,入場料600円,600,,1
2020/04/03 13:26:31,入場料,8000181,入場料600円,600,,2
2020/04/03 13:34:52,カフェ,8000152,セット　最中アイス・抹茶,900,266,2
2020/04/03 14:02:16,入場料,8000181,入場料600円,600,,2
2020/04/03 14:02:43,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 14:14:02,入場料,8000181,入場料600円,600,,2
2020/04/03 14:15:38,入場料,8000181,入場料600円,600,,1
2020/04/03 14:19:28,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 14:19:28,入場料,8000181,入場料600円,600,,1
2020/04/03 14:23:55,入場料,8000181,入場料600円,600,,2
2020/04/03 14:26:13,入場料,8000181,入場料600円,600,,1
2020/04/03 14:27:09,入場料,8000185,減免0円　手帳,0,,1
2020/04/03 14:35:07,入場料,8000181,入場料600円,600,,2
2020/04/03 14:38:23,入場料,8000181,入場料600円,600,,2
2020/04/03 14:52:09,カフェ,8000164,スパークリングセット,1000,,1
2020/04/03 14:52:09,カフェ,36,抹茶,600,151.2,1
2020/04/03 15:03:12,カフェ,8000164,スパークリングセット,1000,,2
2020/04/03 15:07:14,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 15:10:01,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/03 15:10:01,カフェ,37,セット　ロシアケーキ・コーヒー,800,264.2,1
2020/04/03 15:18:47,カフェ,8000298,クラフトビールセット,1000,464,1
2020/04/03 15:18:47,カフェ,8000150,セット　最中アイス・冷抹茶,900,207,1
2020/04/03 15:23:19,入場料,8000181,入場料600円,600,,2
2020/04/03 15:29:01,カフェ,8000298,クラフトビールセット,1000,464,1
2020/04/03 15:31:32,入場料,8000181,入場料600円,600,,1
2020/04/03 15:37:02,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 15:44:51,入場料,8000184,減免0円　敬老,0,,1
2020/04/03 15:59:54,入場料,8000181,入場料600円,600,,1
2020/04/03 16:01:47,カフェ,8000164,スパークリングセット,1000,,1
2020/04/03 16:01:47,カフェ,40,セット　どら焼き・コーヒー,800,275,1
2020/04/03 16:04:36,入場料,8000181,入場料600円,600,,2
2020/04/03 16:09:36,カフェ,40,セット　どら焼き・コーヒー,800,275,1
2020/04/03 16:09:36,カフェ,39,セット　どら焼き・ほうじ茶,800,232.7,1
2020/04/03 16:13:15,入場料,8000181,入場料600円,600,,1
2020/04/03 16:14:39,入場料,8000181,入場料600円,600,,2
2020/04/03 16:19:27,カフェ,8000050,ゆずジュース,600,129,2
2020/04/03 16:42:14,入場料,8000181,入場料600円,600,,1
2020/04/03 18:02:35,入場料,8000187,施設母屋二階午後,3800,,1
2020/04/04 9:04:27,入場料,8000184,減免0円　敬老,0,,1
