タイムスタンプ,本キャンペーン(毎月28日は35歳未満の方無料)をどこで知りましたか？
2019-12-28 9:07:10,知らなかった
2019-12-28 9:41:06,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2019-12-28 10:42:38,知らなかった
2019-12-28 11:07:12,公式ホームページ
2019-12-28 11:41:01,公式Instagram
2019-12-28 11:47:05,知らなかった
2019-12-28 12:04:01,知らなかった
2019-12-28 12:19:36,知らなかった
2019-12-28 12:38:29,知らなかった
2019-12-28 12:59:49,知らなかった
2019-12-28 13:42:06,知らなかった
2019-12-28 13:42:12,知らなかった
2019-12-28 13:48:26,知らなかった
2019-12-28 13:51:25,知らなかった
2019-12-28 14:21:41,知らなかった
2019-12-28 14:41:23,知らなかった
2019-12-28 14:58:33,知らなかった
2019-12-28 15:15:05,お知り合い
2019-12-28 15:15:10,知らなかった
2019-12-28 15:24:40,知らなかった
2019-12-28 15:24:44,知らなかった
2019-12-28 15:34:29,知らなかった
2021-02-28 9:27:15,公式ホームページ
2021-02-28 9:55:47,公式ホームページ
2021-02-28 10:45:12,公式Instagram
2021-02-28 10:45:22,チラシ
2021-02-28 11:04:59,公式ホームページ
2021-02-28 11:19:44,知らなかった
2021-02-28 11:47:59,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-02-28 12:22:05,その他
2021-02-28 13:33:10,知らなかった
2021-02-28 13:46:16,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-02-28 14:35:09,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-02-28 14:47:16,知らなかった
2021-02-28 14:54:30,知らなかった
2021-02-28 14:55:55,知らなかった
2021-02-28 15:14:45,知らなかった
2021-02-28 15:14:49,知らなかった
2021-02-28 15:14:52,お知り合い
2021-02-28 15:43:23,知らなかった
2021-02-28 16:02:38,リピーター(すでに本キャンペーンを利用して来場した経験があった)
2021-02-28 16:02:46,知らなかった
2019-10-28 9:02:41,知らなかった
2019-10-28 9:32:32,知らなかった
2019-10-28 10:40:50,知らなかった
2019-10-28 10:41:01,知らなかった
2019-10-28 10:41:08,知らなかった
2019-10-28 10:41:15,知らなかった
2019-10-28 12:10:55,知らなかった
2019-10-28 12:51:36,知らなかった
2019-10-28 12:51:44,知らなかった
2019-10-28 13:24:19,知らなかった
2019-10-28 13:30:17,新聞
2019-10-28 13:40:37,知らなかった
2019-10-28 13:56:04,知らなかった
2019-10-28 14:28:31,知らなかった
2019-10-28 14:33:01,知らなかった
2019-10-28 14:33:14,知らなかった
2019-10-28 14:39:03,知らなかった
2019-10-28 14:47:20,知らなかった
2019-10-28 14:52:01,知らなかった
2019-10-28 14:52:08,知らなかった
2019-10-28 14:56:56,
2019-10-28 16:03:01,お知り合い
2019-10-28 16:18:17,知らなかった
2019-10-28 16:18:25,知らなかった
2019-10-28 16:26:04,知らなかった
