日付,時間帯,商品カテゴリ,売上
2020-04-01,09:00:00,カフェ,900
2020-04-01,09:00:00,入場料,6600
2020-04-01,10:00:00,入場料,3400
2020-04-01,11:00:00,入場料,1800
2020-04-01,12:00:00,カフェ,1000
2020-04-01,13:00:00,入場料,600
2020-04-01,15:00:00,カフェ,900
2020-04-01,15:00:00,入場料,1200
2020-04-01,16:00:00,入場料,1800
2020-04-01,17:00:00,入場料,600
2020-04-02,09:00:00,入場料,1800
2020-04-02,10:00:00,カフェ,1800
2020-04-02,10:00:00,入場料,3000
2020-04-02,11:00:00,入場料,1800
2020-04-02,12:00:00,入場料,600
2020-04-02,13:00:00,カフェ,1200
2020-04-02,13:00:00,入場料,6600
2020-04-02,14:00:00,カフェ,1200
2020-04-02,14:00:00,入場料,1800
2020-04-02,15:00:00,カフェ,3100
2020-04-02,15:00:00,入場料,2400
2020-04-02,16:00:00,カフェ,600
2020-04-02,16:00:00,入場料,13400
2020-04-02,17:00:00,入場料,3300
2020-04-03,09:00:00,カフェ,2500
2020-04-03,09:00:00,入場料,1800
2020-04-03,10:00:00,入場料,600
2020-04-03,11:00:00,入場料,3000
2020-04-03,12:00:00,カフェ,4200
2020-04-03,12:00:00,入場料,4200
2020-04-03,13:00:00,カフェ,1800
2020-04-03,13:00:00,入場料,3600
2020-04-03,14:00:00,カフェ,1600
2020-04-03,14:00:00,入場料,7800
2020-04-03,15:00:00,カフェ,6500
2020-04-03,15:00:00,入場料,2400
2020-04-03,16:00:00,カフェ,4600
2020-04-03,16:00:00,入場料,3600
2020-04-03,18:00:00,入場料,3800
2020-04-04,09:00:00,カフェ,1000
2020-04-04,09:00:00,入場料,0
2020-04-04,10:00:00,カフェ,3600
2020-04-04,10:00:00,入場料,6000
2020-04-04,11:00:00,入場料,1800
2020-04-04,12:00:00,カフェ,3800
2020-04-04,12:00:00,入場料,6200
2020-04-04,13:00:00,カフェ,6100
2020-04-04,13:00:00,入場料,6000
2020-04-04,14:00:00,カフェ,5700
2020-04-04,14:00:00,入場料,9600
2020-04-04,15:00:00,カフェ,4600
2020-04-04,15:00:00,入場料,12000
2020-04-04,16:00:00,カフェ,9400
2020-04-04,16:00:00,入場料,6600
2020-04-04,17:00:00,入場料,600
2020-04-04,18:00:00,入場料,600
2020-04-05,09:00:00,入場料,1800
2020-04-05,10:00:00,入場料,3600
2020-04-05,11:00:00,カフェ,7200
2020-04-05,11:00:00,入場料,3000
2020-04-05,11:00:00,物販,1000
2020-04-05,12:00:00,入場料,2200
2020-04-05,13:00:00,カフェ,4400
2020-04-05,13:00:00,入場料,7200
2020-04-05,14:00:00,カフェ,1100
2020-04-05,14:00:00,入場料,1200
2020-04-05,15:00:00,カフェ,3300
2020-04-05,15:00:00,入場料,8800
2020-04-05,16:00:00,カフェ,2000
2020-04-05,16:00:00,入場料,3000
2020-04-05,17:00:00,入場料,1700
2020-04-05,17:00:00,物販,1320
2020-04-06,10:00:00,入場料,1800
2020-04-06,11:00:00,入場料,1800
2020-04-06,12:00:00,入場料,2400
2020-04-06,13:00:00,カフェ,1800
2020-04-06,13:00:00,入場料,7200
2020-04-06,14:00:00,カフェ,2400
2020-04-06,14:00:00,入場料,1800
2020-04-06,15:00:00,入場料,2400
2020-04-06,16:00:00,カフェ,1800
2020-04-06,16:00:00,入場料,0
2020-04-06,17:00:00,入場料,1300
2020-04-07,13:00:00,物販,3400
2020-04-10,15:00:00,カフェ,900
2020-04-18,13:00:00,入場料,1200
2020-04-24,14:00:00,カフェ,1200
2020-05-06,16:00:00,茶道,155000
2020-05-19,16:00:00,カフェ,400
2020-05-19,18:00:00,カフェ,1000
2020-05-20,15:00:00,カフェ,4800
2020-05-22,10:00:00,物販,1300
2020-05-22,12:00:00,入場料,1200
2020-05-22,13:00:00,入場料,600
2020-05-22,14:00:00,入場料,600
2020-05-22,15:00:00,入場料,1200
2020-05-22,17:00:00,イベント,200
2020-05-22,17:00:00,カフェ,600
2020-05-22,17:00:00,入場料,600
2020-05-22,18:00:00,入場料,600
2020-05-23,10:00:00,カフェ,3000
2020-05-23,10:00:00,入場料,3000
2020-05-23,11:00:00,イベント,400
2020-05-23,11:00:00,カフェ,1800
2020-05-23,11:00:00,入場料,1200
2020-05-23,12:00:00,イベント,800
2020-05-23,12:00:00,カフェ,2400
