時間帯,年齢,性別,来場者数
2018-04-06 13:00:00,30代,女性,1
2018-04-06 13:00:00,50代,女性,1
2018-04-06 13:00:00,70代以上,男性,1
2018-04-06 14:00:00,10代,女性,1
2018-04-06 14:00:00,50代,女性,1
2018-04-07 10:00:00,30代,男性,1
2018-04-07 10:00:00,50代,女性,1
2018-04-07 10:00:00,50代,男性,1
2018-04-07 12:00:00,50代,男性,2
2018-04-07 13:00:00,30代,女性,1
2018-04-07 13:00:00,30代,男性,1
2018-04-07 14:00:00,30代,女性,1
2018-04-08 14:00:00,10代,女性,2
2018-04-08 14:00:00,10代,男性,1
2018-04-09 11:00:00,30代,女性,1
2018-04-10 14:00:00,10代,女性,1
2018-04-10 14:00:00,10代,男性,1
2018-04-10 14:00:00,30代,女性,1
2018-04-10 14:00:00,50代,女性,3
2018-04-10 14:00:00,70代以上,女性,1
2018-04-10 15:00:00,70代以上,女性,1
2018-04-10 16:00:00,70代以上,女性,1
2018-04-11 09:00:00,50代,女性,1
2018-04-11 11:00:00,30代,女性,1
2018-04-11 11:00:00,50代,女性,3
2018-04-11 11:00:00,50代,男性,1
2018-04-11 11:00:00,70代以上,女性,3
2018-04-11 12:00:00,50代,女性,1
2018-04-11 12:00:00,50代,男性,2
2018-04-12 10:00:00,10代,男性,1
2018-04-12 10:00:00,50代,女性,1
2018-04-12 11:00:00,50代,女性,2
2018-04-12 16:00:00,50代,女性,1
2018-04-13 08:00:00,50代,女性,1
2018-04-13 08:00:00,50代,男性,1
2018-04-13 09:00:00,10代,男性,1
2018-04-13 09:00:00,50代,女性,2
2018-04-13 09:00:00,70代以上,男性,1
2018-04-13 10:00:00,50代,女性,1
2018-04-13 13:00:00,10代,女性,1
2018-04-13 13:00:00,30代,女性,1
2018-04-13 13:00:00,50代,女性,2
2018-04-13 13:00:00,50代,男性,1
2018-04-13 14:00:00,10代,女性,1
2018-04-13 14:00:00,30代,女性,1
2018-04-13 14:00:00,50代,女性,1
2018-04-13 15:00:00,50代,男性,1
2018-04-14 08:00:00,50代,女性,3
2018-04-14 09:00:00,50代,女性,1
2018-04-14 09:00:00,50代,男性,4
2018-04-14 10:00:00,30代,女性,4
2018-04-14 10:00:00,50代,女性,1
2018-04-14 10:00:00,50代,男性,1
2018-04-14 11:00:00,10代,男性,1
2018-04-14 11:00:00,30代,女性,2
2018-04-14 11:00:00,50代,女性,1
2018-04-14 11:00:00,50代,男性,3
2018-04-14 11:00:00,70代以上,女性,1
2018-04-14 12:00:00,30代,女性,1
2018-04-14 12:00:00,30代,男性,2
2018-04-14 13:00:00,50代,男性,1
2018-04-14 14:00:00,50代,女性,1
2018-04-14 14:00:00,50代,男性,1
2018-04-14 15:00:00,10代,女性,1
2018-04-14 15:00:00,30代,男性,1
2018-04-14 15:00:00,50代,男性,1
2018-04-15 15:00:00,30代,女性,1
2018-04-15 16:00:00,10代,女性,1
2018-04-15 16:00:00,30代,女性,2
2018-04-20 09:00:00,30代,男性,1
2018-04-20 11:00:00,30代,女性,1
2018-04-20 11:00:00,50代,男性,1
2018-04-20 12:00:00,10代,女性,2
2018-04-20 12:00:00,50代,女性,2
2018-04-20 13:00:00,30代,女性,1
2018-04-20 13:00:00,50代,女性,4
2018-04-20 14:00:00,10代,女性,1
2018-04-20 14:00:00,30代,女性,3
2018-04-20 14:00:00,50代,男性,1
2018-04-20 14:00:00,不明,女性,1
2018-04-20 15:00:00,30代,女性,2
2018-04-20 16:00:00,10代,男性,1
2018-04-20 16:00:00,30代,女性,1
2018-04-21 09:00:00,50代,女性,2
2018-04-21 10:00:00,10代,女性,3
2018-04-21 10:00:00,30代,女性,4
2018-04-21 10:00:00,50代,女性,6
2018-04-21 10:00:00,50代,男性,2
2018-04-21 10:00:00,70代以上,男性,1
2018-04-21 12:00:00,50代,女性,1
2018-04-21 12:00:00,50代,男性,1
2018-04-24 14:00:00,50代,女性,1
2018-04-24 14:00:00,50代,男性,1
2018-04-24 15:00:00,30代,女性,2
2018-04-24 15:00:00,50代,女性,1
2018-04-24 16:00:00,30代,女性,1
2018-04-25 09:00:00,50代,女性,1
2018-04-27 08:00:00,10代,男性,1
2018-04-27 08:00:00,50代,女性,1
2018-04-27 09:00:00,30代,女性,1
2018-04-27 09:00:00,50代,女性,1
2018-04-27 10:00:00,50代,女性,1
2018-04-27 10:00:00,50代,男性,3
2018-04-27 10:00:00,70代以上,男性,1
2018-04-28 09:00:00,50代,女性,1
2018-04-28 09:00:00,50代,男性,1
2018-07-18 10:00:00,50代,女性,2
2018-07-18 10:00:00,50代,男性,2
2018-07-18 13:00:00,30代,女性,1
2018-07-18 14:00:00,30代,女性,1
2018-07-18 14:00:00,50代,女性,1
2018-07-18 16:00:00,50代,女性,1
2018-07-18 16:00:00,50代,男性,1
2018-07-18 16:00:00,70代以上,女性,1
2018-07-19 09:00:00,30代,男性,1
2018-07-19 09:00:00,50代,女性,1
2018-07-19 09:00:00,70代以上,女性,1
2018-07-19 10:00:00,10代,男性,1
2018-07-19 10:00:00,30代,女性,4
2018-07-19 10:00:00,30代,男性,1
2018-07-19 10:00:00,70代以上,男性,1
2018-07-19 11:00:00,30代,女性,3
2018-07-19 11:00:00,30代,男性,1
2018-07-19 11:00:00,50代,男性,1
2018-07-19 11:00:00,70代以上,女性,1
2018-07-19 13:00:00,30代,男性,1
2018-07-19 13:00:00,70代以上,女性,2
2018-07-19 15:00:00,50代,男性,1
2018-07-19 16:00:00,10代,女性,1
2018-07-20 08:00:00,30代,男性,1
2018-07-20 08:00:00,50代,女性,1
2018-07-20 08:00:00,50代,男性,1
2018-07-20 09:00:00,50代,女性,1
2018-07-20 10:00:00,10代,男性,1
2018-07-20 10:00:00,30代,女性,2
2018-07-20 11:00:00,30代,女性,1
2018-07-20 11:00:00,50代,女性,1
2018-07-20 11:00:00,50代,男性,1
2018-07-20 12:00:00,50代,女性,1
2018-07-20 12:00:00,50代,男性,2
2018-07-20 15:00:00,10代,男性,1
2018-07-20 15:00:00,30代,男性,1
2018-07-20 15:00:00,50代,男性,1
2018-07-21 07:00:00,30代,男性,1
2018-07-21 09:00:00,50代,女性,1
2018-07-21 10:00:00,30代,女性,1
2018-07-21 14:00:00,50代,男性,1
2018-07-23 13:00:00,30代,女性,1
2018-07-23 13:00:00,50代,女性,2
2018-07-23 13:00:00,70代以上,男性,1
2018-07-24 09:00:00,50代,女性,1
2018-07-25 07:00:00,50代,男性,1
2018-07-25 12:00:00,50代,女性,1
2018-07-25 13:00:00,10代,女性,1
2018-07-25 13:00:00,30代,女性,1
2018-07-25 13:00:00,50代,女性,1
2018-07-25 14:00:00,10代,女性,1
2018-07-25 14:00:00,30代,男性,1
2018-07-25 14:00:00,70代以上,女性,1
2018-07-26 13:00:00,30代,男性,1
2018-07-27 09:00:00,10代,女性,2
2018-07-27 09:00:00,10代,男性,1
2018-07-27 09:00:00,30代,男性,1
2018-07-27 09:00:00,50代,女性,2
2018-07-27 10:00:00,30代,男性,1
2018-07-27 10:00:00,50代,女性,1
2018-07-27 11:00:00,10代,男性,1
2018-07-27 11:00:00,30代,男性,1
2018-07-27 11:00:00,50代,女性,1
2018-07-27 12:00:00,30代,女性,1
2018-07-27 12:00:00,70代以上,男性,1
2018-07-27 14:00:00,30代,女性,2
2018-07-27 15:00:00,10代,女性,2
2018-07-27 15:00:00,30代,女性,1
2018-07-27 15:00:00,30代,男性,1
2018-07-27 16:00:00,10代,女性,1
2018-07-28 09:00:00,10代,男性,1
2018-07-28 09:00:00,30代,女性,1
2018-07-28 09:00:00,30代,男性,1
2018-07-28 10:00:00,30代,男性,2
2018-07-28 11:00:00,10代,女性,1
2018-07-28 12:00:00,10代,女性,1
2018-07-28 12:00:00,30代,女性,1
2018-07-28 12:00:00,50代,女性,1
2018-07-28 15:00:00,50代,男性,1
2018-07-29 11:00:00,30代,女性,2
2018-07-29 12:00:00,10代,男性,1
2018-07-29 12:00:00,50代,女性,1
2018-07-29 13:00:00,10代,女性,1
2018-07-29 14:00:00,50代,女性,1
2018-07-29 14:00:00,50代,男性,1
2018-07-29 15:00:00,10代,女性,1
2018-07-29 15:00:00,10代,男性,2
2018-07-29 15:00:00,30代,女性,2
2018-07-29 15:00:00,50代,女性,1
2018-07-29 15:00:00,不明,男性,1
2018-07-29 16:00:00,10代,男性,1
2018-07-30 14:00:00,30代,女性,1
2018-07-31 09:00:00,50代,女性,1
2018-07-31 10:00:00,10代,女性,1
2018-07-31 10:00:00,50代,女性,1
2018-07-31 10:00:00,70代以上,女性,1
2018-07-31 11:00:00,30代,女性,1
2018-07-31 14:00:00,30代,女性,1
2018-07-31 16:00:00,30代,女性,1
2018-08-01 09:00:00,50代,女性,1
2018-08-01 12:00:00,30代,女性,1
2018-08-01 16:00:00,30代,男性,1
2018-08-01 16:00:00,70代以上,男性,1
2018-08-02 08:00:00,50代,女性,1
2018-08-02 09:00:00,50代,男性,1
2018-08-02 11:00:00,30代,女性,1
2018-08-02 11:00:00,30代,男性,1
2018-08-02 12:00:00,50代,女性,1
2018-08-02 14:00:00,30代,男性,1
2018-08-02 14:00:00,50代,男性,2
2018-08-02 15:00:00,30代,女性,1
2018-08-02 15:00:00,30代,男性,1
2018-08-03 10:00:00,50代,女性,1
2018-08-03 13:00:00,30代,男性,1
2018-08-03 15:00:00,50代,男性,1
2018-08-03 16:00:00,10代,男性,1
2018-08-04 08:00:00,50代,男性,1
2018-08-04 09:00:00,30代,女性,1
2018-08-04 09:00:00,30代,男性,1
2018-08-04 10:00:00,10代,女性,1
2018-08-04 10:00:00,50代,女性,1
2018-08-04 13:00:00,50代,男性,1
2018-08-04 16:00:00,10代,女性,2
2018-08-04 16:00:00,30代,男性,2
2018-08-05 12:00:00,10代,女性,1
2018-08-05 12:00:00,30代,男性,1
2018-08-05 13:00:00,10代,女性,3
2018-08-05 13:00:00,30代,男性,1
2018-08-05 13:00:00,50代,女性,1
2018-08-05 14:00:00,30代,女性,1
2018-08-05 16:00:00,10代,男性,1
2018-08-07 13:00:00,50代,男性,1
2018-08-07 14:00:00,10代,女性,2
2018-08-07 15:00:00,10代,女性,2
2018-08-07 16:00:00,10代,男性,1
2018-08-07 16:00:00,30代,女性,1
2018-08-07 16:00:00,50代,男性,1
2018-08-07 17:00:00,10代,男性,1
